Airline,Source,Destination,Total_Stops,Price,Journey_Day,Journey_Month,Duration_mins,Dep_Hour,Arrival_Hour
3,0,5,0,3897,24,3,170,22,1
1,3,0,2,7662,5,1,445,5,13
4,2,1,2,13882,6,9,1140,9,4
3,3,0,1,6218,5,12,325,18,23
3,0,5,1,13302,3,1,285,16,21
8,3,0,0,3873,24,6,145,9,11
4,0,5,1,11087,3,12,930,18,10
4,0,5,1,22270,3,1,1265,8,5
4,0,5,1,11087,3,12,1530,8,10
6,2,1,1,8625,27,5,470,11,19
1,2,1,1,8907,6,1,795,9,23
3,3,0,0,4174,18,4,155,20,22
1,1,4,0,4667,24,6,135,11,13
4,3,0,1,9663,5,9,730,21,9
3,3,0,0,4804,24,4,155,17,19
1,2,1,2,14011,3,3,1595,16,19
8,2,1,1,5830,15,4,270,8,13
4,2,1,1,10262,6,12,1355,14,12
1,2,1,2,13381,6,12,1380,20,19
4,2,1,1,12898,27,5,1235,16,12
2,2,1,1,19495,3,6,310,14,19
1,0,5,1,6955,21,3,920,22,13
3,0,2,0,3943,4,3,170,4,6
3,0,2,0,4823,5,1,175,18,21
4,3,0,1,7757,5,6,800,18,8
4,2,1,2,13292,6,9,910,21,12
3,2,1,1,8238,6,1,345,21,3
2,2,1,1,7682,15,5,355,7,12
10,0,2,0,4668,18,6,170,9,12
10,1,4,0,3687,15,6,135,7,9
10,1,4,0,3687,18,6,135,7,9
1,3,0,2,13227,5,1,805,9,23
3,0,2,0,4423,4,6,170,4,6
4,2,1,2,10919,15,6,1320,14,12
4,2,1,1,12373,18,5,330,7,12
3,2,1,1,5894,27,6,625,10,21
8,3,0,1,4649,21,5,315,15,20
1,3,0,0,6245,18,5,150,14,16
4,0,5,1,19225,3,6,375,7,13
4,2,1,1,14924,6,3,715,7,19
6,2,1,1,9646,21,5,665,7,18
1,0,5,1,8714,15,3,510,6,15
4,2,1,1,12373,18,5,1325,20,19
0,0,2,0,3383,5,6,165,11,13
6,2,1,1,13062,21,3,720,9,21
